WORD, COUNT, RELATIVE_FREQUENCY
careless, 1, 0.0001
concerts, 1, 0.0001
receipt, 1, 0.0001
balanced, 1, 0.0001
year, 1, 0.0001
girl, 1, 0.0001
tried, 1, 0.0001
living, 1, 0.0001
attracted, 1, 0.0001
investigation, 1, 0.0001
epistle, 1, 0.0001
advantages, 1, 0.0001
flurried, 1, 0.0001
freemasonry, 1, 0.0001
ominous, 1, 0.0001
jewel-box, 1, 0.0001
double-edged, 1, 0.0001
motion, 1, 0.0001
deep-sea, 1, 0.0001
waited, 1, 0.0001
first, 1, 0.0001
blind, 1, 0.0001
simplifies, 1, 0.0001
high-power, 1, 0.0001
clumsy, 1, 0.0001
'eg, 1, 0.0001
size, 1, 0.0001
slept, 1, 0.0001
anyone, 1, 0.0001
unmarried, 1, 0.0001
gives, 1, 0.0001
nurse-girl, 1, 0.0001
slashed, 1, 0.0001
transferred, 1, 0.0001
gigantic, 1, 0.0001
addressing, 1, 0.0001
remained, 1, 0.0001
voices, 1, 0.0001
buried, 1, 0.0001
spectacle, 1, 0.0001
turner, 1, 0.0001
silhouette, 1, 0.0001
begin, 1, 0.0001
amiable, 1, 0.0001
paid, 1, 0.0001
blackest, 1, 0.0001
successive, 1, 0.0001
fills, 1, 0.0001
later, 1, 0.0001
playing, 1, 0.0001
intrusions, 1, 0.0001
hurled, 1, 0.0001
slavey, 1, 0.0001
perch, 1, 0.0001
shot, 1, 0.0001
fifty, 1, 0.0001
russian, 1, 0.0001
shoe, 1, 0.0001
mister, 1, 0.0001
slow, 1, 0.0001
texture, 1, 0.0001
wood, 1, 0.0001
blinds, 1, 0.0001
lighted, 1, 0.0001
rejoiced, 1, 0.0001
truly, 1, 0.0001
nearly, 1, 0.0001
awaiting, 1, 0.0001
treachery, 1, 0.0001
side-lights, 1, 0.0001
reveal, 1, 0.0001
prima, 1, 0.0001
barbaric, 1, 0.0001
well-dressed, 1, 0.0001
signs, 1, 0.0001
seat, 1, 0.0001
doings, 1, 0.0001
seal, 1, 0.0001
wonder, 1, 0.0001
jumped, 1, 0.0001
outside, 1, 0.0001
whispered, 1, 0.0001
notice, 1, 0.0001
august, 1, 0.0001
boot-slitting, 1, 0.0001
dated, 1, 0.0001
expression, 1, 0.0001
afterwards, 1, 0.0001
insist, 1, 0.0001
satisfaction, 1, 0.0001
unusual, 1, 0.0001
capable, 1, 0.0001
marm, 1, 0.0001
trepoff, 1, 0.0001
informed, 1, 0.0001
mark, 1, 0.0001
motives, 1, 0.0001
mary, 1, 0.0001
odessa, 1, 0.0001
suspected, 1, 0.0001
spirit, 1, 0.0001
trick, 1, 0.0001
forefinger, 1, 0.0001
chamois, 1, 0.0001
rubbing, 1, 0.0001
coffee, 1, 0.0001
dubious, 1, 0.0001
heels, 1, 0.0001
harsh, 1, 0.0001
confidant, 1, 0.0001
gentlemen, 1, 0.0001
wilhelm, 1, 0.0001
uncourteous, 1, 0.0001
motioned, 1, 0.0001
servant-maids, 1, 0.0001
extended, 1, 0.0001
centuries, 1, 0.0001
't' , 1, 0.0001
nest, 1, 0.0001
driver, 1, 0.0001
drives, 1, 0.0001
driven, 1, 0.0001
edges, 1, 0.0001
intended, 1, 0.0001
floor, 1, 0.0001
reward, 1, 0.0001
walking-clothes, 1, 0.0001
consisted, 1, 0.0001
actress, 1, 0.0001
handed, 1, 0.0001
halfway, 1, 0.0001
blow, 1, 0.0001
death, 1, 0.0001
beryl, 1, 0.0001
regent, 1, 0.0001
except, 1, 0.0001
instrument, 1, 0.0001
dryly, 1, 0.0001
grating, 1, 0.0001
grit, 1, 0.0001
around, 1, 0.0001
rejoin, 1, 0.0001
specimen, 1, 0.0001
secrecy, 1, 0.0001
confined, 1, 0.0001
world, 1, 0.0001
grim, 1, 0.0001
furniture, 1, 0.0001
acute, 1, 0.0001
sigismond, 1, 0.0001
greeting, 1, 0.0001
shutter, 1, 0.0001
maker, 1, 0.0001
t, 1, 0.0001
twelve, 1, 0.0001
pronounce, 1, 0.0001
thinks, 1, 0.0001
accomplice, 1, 0.0001
1858, 1, 0.0001
gross, 1, 0.0001
passions, 1, 0.0001
mood, 1, 0.0001
'p, 1, 0.0001
recorded, 1, 0.0001
power, 1, 0.0001
communicate, 1, 0.0001
intrusted, 1, 0.0001
broken, 1, 0.0001
refers, 1, 0.0001
frenchman, 1, 0.0001
baffled, 1, 0.0001
whence, 1, 0.0001
journey, 1, 0.0001
imitated, 1, 0.0001
quietly, 1, 0.0001
endeavouring, 1, 0.0001
assumed, 1, 0.0001
note-book, 1, 0.0001
energy, 1, 0.0001
gibe, 1, 0.0001
lodgings, 1, 0.0001
strikes, 1, 0.0001
ended, 1, 0.0001
pull, 1, 0.0001
arranged, 1, 0.0001
grasp, 1, 0.0001
strongly, 1, 0.0001
taste, 1, 0.0001
certain, 1, 0.0001
walks, 1, 0.0001
rubbed, 1, 0.0001
half-drew, 1, 0.0001
poor, 1, 0.0001
briefly, 1, 0.0001
waving, 1, 0.0001
important, 1, 0.0001
well-remembered, 1, 0.0001
calls, 1, 0.0001
wife, 1, 0.0001
sounded, 1, 0.0001
resolution, 1, 0.0001
eglow, 1, 0.0001
vile, 1, 0.0001
caused, 1, 0.0001
invariable, 1, 0.0001
ceased, 1, 0.0001
dreadful, 1, 0.0001
thursday, 1, 0.0001
smile, 1, 0.0001
sitting, 1, 0.0001
fall, 1, 0.0001
benevolent, 1, 0.0001
joined, 1, 0.0001
mademoiselle's, 1, 0.0001
watch-chain, 1, 0.0001
employing, 1, 0.0001
grabs, 1, 0.0001
honourable, 1, 0.0001
pass, 1, 0.0001
egria, 1, 0.0001
trincomalee, 1, 0.0001
emotions, 1, 0.0001
succinct, 1, 0.0001
certificates, 1, 0.0001
tags, 1, 0.0001
hours, 1, 0.0001
directions, 1, 0.0001
tragedy, 1, 0.0001
search, 1, 0.0001
houses, 1, 0.0001
drawers, 1, 0.0001
action, 1, 0.0001
john's, 1, 0.0001
sticking, 1, 0.0001
suddenly, 1, 0.0001
drunken-looking, 1, 0.0001
unpleasantness, 1, 0.0001
flame-coloured, 1, 0.0001
conspiring, 1, 0.0001
knows, 1, 0.0001
purse, 1, 0.0001
horsey, 1, 0.0001
excuse, 1, 0.0001
stethoscope, 1, 0.0001
impulse, 1, 0.0001
hurry, 1, 0.0001
science, 1, 0.0001
history, 1, 0.0001
lives, 1, 0.0001
elbowed, 1, 0.0001
biography, 1, 0.0001
presently, 1, 0.0001
narrowly, 1, 0.0001
desperation, 1, 0.0001
breaking, 1, 0.0001
occasionally, 1, 0.0001
clotilde, 1, 0.0001
creature, 1, 0.0001
waved, 1, 0.0001
simplicity, 1, 0.0001
suppose, 1, 0.0001
questioning, 1, 0.0001
superscribed, 1, 0.0001
lighting, 1, 0.0001
blood, 1, 0.0001
proclaimed, 1, 0.0001
refuse, 1, 0.0001
crowded, 1, 0.0001
prefers, 1, 0.0001
departure, 1, 0.0001
'what, 1, 0.0001
threatens, 1, 0.0001
pleasure, 1, 0.0001
secreting, 1, 0.0001
mission, 1, 0.0001
held, 1, 0.0001
attitude, 1, 0.0001
wronged, 1, 0.0001
darlington, 1, 0.0001
committed, 1, 0.0001
colleague, 1, 0.0001
return, 1, 0.0001
food, 1, 0.0001
propose, 1, 0.0001
clouds, 1, 0.0001
struggling, 1, 0.0001
easily, 1, 0.0001
stopped, 1, 0.0001
everyone, 1, 0.0001
mental, 1, 0.0001
weight, 1, 0.0001
hare, 1, 0.0001
beyond, 1, 0.0001
immensely, 1, 0.0001
wedlock, 1, 0.0001
issue, 1, 0.0001
risen, 1, 0.0001
guess, 1, 0.0001
reason, 1, 0.0001
reasons, 1, 0.0001
put, 1, 0.0001
thrown, 1, 0.0001
arnsworth, 1, 0.0001
bridegroom, 1, 0.0001
castle, 1, 0.0001
drawing-room, 1, 0.0001
copper, 1, 0.0001
slipped, 1, 0.0001
fancy, 1, 0.0001
feet, 1, 0.0001
sympathy, 1, 0.0001
brave, 1, 0.0001
story, 1, 0.0001
heads, 1, 0.0001
paint, 1, 0.0001
wonderful, 1, 0.0001
passed, 1, 0.0001
compromise, 1, 0.0001
recovered, 1, 0.0001
bowed, 1, 0.0001
broad-brimmed, 1, 0.0001
park, 1, 0.0001
immediate, 1, 0.0001
cheekbones, 1, 0.0001
grace, 1, 0.0001
kind, 1, 0.0001
youth, 1, 0.0001
bride, 1, 0.0001
ill-kempt, 1, 0.0001
vizard, 1, 0.0001
suspicious, 1, 0.0001
solemnly, 1, 0.0001
idler, 1, 0.0001
cleverness, 1, 0.0001
orders, 1, 0.0001
sell, 1, 0.0001
sandwiched, 1, 0.0001
built, 1, 0.0001
flaming, 1, 0.0001
moist, 1, 0.0001
lip, 1, 0.0001
play, 1, 0.0001
added, 1, 0.0001
experiences, 1, 0.0001
services, 1, 0.0001
chronicle, 1, 0.0001
top-hat, 1, 0.0001
hindrance, 1, 0.0001
lying, 1, 0.0001
languid, 1, 0.0001
scattered, 1, 0.0001
relation, 1, 0.0001
malignant, 1, 0.0001
carefully, 1, 0.0001
fine, 1, 0.0001
depended, 1, 0.0001
nervous, 1, 0.0001
failed, 1, 0.0001
pretty, 1, 0.0001
hardened, 1, 0.0001
actions, 1, 0.0001
during, 1, 0.0001
silk, 1, 0.0001
'come, 1, 0.0001
monogram, 1, 0.0001
insensibly, 1, 0.0001
resolve, 1, 0.0001
remove, 1, 0.0001
activity, 1, 0.0001
precaution, 1, 0.0001
insane, 1, 0.0001
seventeen, 1, 0.0001
set, 1, 0.0001
throwing, 1, 0.0001
prague, 1, 0.0001
sex, 1, 0.0001
hoarsely, 1, 0.0001
arm, 1, 0.0001
probable, 1, 0.0001
guinea, 1, 0.0001
please, 1, 0.0001
verbs, 1, 0.0001
burned, 1, 0.0001
numerous, 1, 0.0001
pink-tinted, 1, 0.0001
responses, 1, 0.0001
sole, 1, 0.0001
pshaw, 1, 0.0001
betrayed, 1, 0.0001
last, 1, 0.0001
license, 1, 0.0001
'first, 1, 0.0001
sensitive, 1, 0.0001
finds, 1, 0.0001
others, 1, 0.0001
whatever, 1, 0.0001
devil, 1, 0.0001
political, 1, 0.0001
secret, 1, 0.0001
empty, 1, 0.0001
lived, 1, 0.0001
wet, 1, 0.0001
sleeves, 1, 0.0001
compromised, 1, 0.0001
temperament, 1, 0.0001
better-dressed, 1, 0.0001
gentleman's, 1, 0.0001
uncertain, 1, 0.0001
straight, 1, 0.0001
mumbling, 1, 0.0001
replaced, 1, 0.0001
eclipses, 1, 0.0001
animated, 1, 0.0001
incognito, 1, 0.0001
agitation, 1, 0.0001
binding, 1, 0.0001
beautifully, 1, 0.0001
all-important, 1, 0.0001
funny, 1, 0.0001
lengthy, 1, 0.0001
predominates, 1, 0.0001
lengths, 1, 0.0001
shag, 1, 0.0001
grand, 1, 0.0001
advise, 1, 0.0001
used, 1, 0.0001
yesterday, 1, 0.0001
arrived, 1, 0.0001
purpose, 1, 0.0001
recent, 1, 0.0001
safe, 1, 0.0001
task, 1, 0.0001
equalled, 1, 0.0001
obviously, 1, 0.0001
clasped, 1, 0.0001
adventuress, 1, 0.0001
gottsreich, 1, 0.0001
distracting, 1, 0.0001
hercules, 1, 0.0001
retired, 1, 0.0001
prince, 1, 0.0001
vague, 1, 0.0001
confide, 1, 0.0001
ridiculously, 1, 0.0001
march, 1, 0.0001
showing, 1, 0.0001
entangled, 1, 0.0001
bit, 1, 0.0001
moody, 1, 0.0001
success, 1, 0.0001
uproar, 1, 0.0001
continue, 1, 0.0001
donna, 1, 0.0001
obliged, 1, 0.0001
hurriedly, 1, 0.0001
ourselves, 1, 0.0001
cigar-shaped, 1, 0.0001
wallenstein, 1, 0.0001
acquaintance, 1, 0.0001
scala, 1, 0.0001
5:15, 1, 0.0001
staff-commander, 1, 0.0001
measures, 1, 0.0001
run, 1, 0.0001
peculiarly, 1, 0.0001
'this, 1, 0.0001
refused, 1, 0.0001
effusive, 1, 0.0001
step, 1, 0.0001
extending, 1, 0.0001
exaggerated, 1, 0.0001
mouth, 1, 0.0001
relapsed, 1, 0.0001
piteous, 1, 0.0001
drifted, 1, 0.0001
'company, 1, 0.0001
depicted, 1, 0.0001
fast, 1, 0.0001
baggy, 1, 0.0001
inches, 1, 0.0001
scuffle, 1, 0.0001
line, 1, 0.0001
dull, 1, 0.0001
planet, 1, 0.0001
apiece, 1, 0.0001
to-night, 1, 0.0001
well-known, 1, 0.0001
scarlet, 1, 0.0001
single, 1, 0.0001
curb, 1, 0.0001
chat, 1, 0.0001
concealment, 1, 0.0001
peace, 1, 0.0001
preventing, 1, 0.0001
excuses, 1, 0.0001
nice, 1, 0.0001
draw, 1, 0.0001
spectators, 1, 0.0001
provided, 1, 0.0001
problems, 1, 0.0001
visits, 1, 0.0001
lent, 1, 0.0001
fishes, 1, 0.0001
hansom, 1, 0.0001
sides, 1, 0.0001
practically, 1, 0.0001
fitted, 1, 0.0001
far, 1, 0.0001
fresh, 1, 0.0001
results, 1, 0.0001
softer, 1, 0.0001
gang, 1, 0.0001
amiss, 1, 0.0001
shrugged, 1, 0.0001
peering, 1, 0.0001
suits, 1, 0.0001
lower, 1, 0.0001
carelessly, 1, 0.0001
burgled, 1, 0.0001
breathing, 1, 0.0001
wished, 1, 0.0001
reproachfully, 1, 0.0001
reopened, 1, 0.0001
wishes, 1, 0.0001
stiff, 1, 0.0001
fur, 1, 0.0001
notes, 1, 0.0001
busier, 1, 0.0001
boots, 1, 0.0001
index, 1, 0.0001
holmes', 1, 0.0001
capital, 1, 0.0001
values, 1, 0.0001
mews, 1, 0.0001
desires, 1, 0.0001
exchange, 1, 0.0001
brooch, 1, 0.0001
bachelor, 1, 0.0001
safer, 1, 0.0001
extreme, 1, 0.0001
settling, 1, 0.0001
biographies, 1, 0.0001
writes, 1, 0.0001
named, 1, 0.0001
limp, 1, 0.0001
wit, 1, 0.0001
loafer, 1, 0.0001
cloud, 1, 0.0001
standing, 1, 0.0001
remains, 1, 0.0001
next, 1, 0.0001
assuring, 1, 0.0001
excitedly, 1, 0.0001
becomes, 1, 0.0001
inclined, 1, 0.0001
train, 1, 0.0001
ashamed, 1, 0.0001
baby, 1, 0.0001
iii, 1, 0.0001
high, 1, 0.0001
'co, 1, 0.0001
meet, 1, 0.0001
closing, 1, 0.0001
tap, 1, 0.0001
lock, 1, 0.0001
slim, 1, 0.0001
purposes, 1, 0.0001
escaped, 1, 0.0001
inviolate, 1, 0.0001
employs, 1, 0.0001
sir, 1, 0.0001
rumble, 1, 0.0001
surrounded, 1, 0.0001
sit, 1, 0.0001
occur, 1, 0.0001
delay, 1, 0.0001
instead, 1, 0.0001
establishment, 1, 0.0001
attend, 1, 0.0001
wrist, 1, 0.0001
1888, 1, 0.0001
trifling, 1, 0.0001
light, 1, 0.0001
lined, 1, 0.0001
furnish, 1, 0.0001
beauties, 1, 0.0001
ambition, 1, 0.0001
won't, 1, 0.0001
fortunate, 1, 0.0001
home-centred, 1, 0.0001
perfect, 1, 0.0001
la, 1, 0.0001
aquiline, 1, 0.0001
twopence, 1, 0.0001
outlined, 1, 0.0001
mention, 1, 0.0001
snake, 1, 0.0001
emerald, 1, 0.0001
speaks, 1, 0.0001
warned, 1, 0.0001
trimmed, 1, 0.0001
slipping, 1, 0.0001
tray, 1, 0.0001
by-the-way, 1, 0.0001
society, 1, 0.0001
books, 1, 0.0001
witness, 1, 0.0001
confess, 1, 0.0001
fathom, 1, 0.0001
red, 1, 0.0001
undated, 1, 0.0001
completely, 1, 0.0001
surely, 1, 0.0001
sneer, 1, 0.0001
princess, 1, 0.0001
dismantled, 1, 0.0001
'g' , 1, 0.0001
prepare, 1, 0.0001
keep, 1, 0.0001
length, 1, 0.0001
gleam, 1, 0.0001
hence, 1, 0.0001
staggered, 1, 0.0001
plainly, 1, 0.0001
delicately, 1, 0.0001
reaches, 1, 0.0001
bonnet, 1, 0.0001
scent, 1, 0.0001
bijou, 1, 0.0001
strict, 1, 0.0001
unknown, 1, 0.0001
accent, 1, 0.0001
adopted, 1, 0.0001
interests, 1, 0.0001
chagrin, 1, 0.0001
completed, 1, 0.0001
exactly, 1, 0.0001
remember, 1, 0.0001
loved, 1, 0.0001
holland, 1, 0.0001
uncontrollable, 1, 0.0001
loves, 1, 0.0001
lover, 1, 0.0001
comfortable, 1, 0.0001
sardonic, 1, 0.0001
unlikely, 1, 0.0001
need, 1, 0.0001
apparently, 1, 0.0001
hungrily, 1, 0.0001
pursued, 1, 0.0001
secreted, 1, 0.0001
instance, 1, 0.0001
savagely, 1, 0.0001
led, 1, 0.0001
centre, 1, 0.0001
vouching, 1, 0.0001
sally, 1, 0.0001
firelight, 1, 0.0001
repeated, 1, 0.0001
proceedings, 1, 0.0001
occasion, 1, 0.0001
impression, 1, 0.0001
recess, 1, 0.0001
chances, 1, 0.0001
rough, 1, 0.0001
determined, 1, 0.0001
principal, 1, 0.0001
continent, 1, 0.0001
rabbi, 1, 0.0001
listened, 1, 0.0001
means, 1, 0.0001
familiar, 1, 0.0001
flirting, 1, 0.0001
lucky, 1, 0.0001
bear, 1, 0.0001
burglars, 1, 0.0001
occupant, 1, 0.0001
antagonist, 1, 0.0001
processes, 1, 0.0001
tobacco, 1, 0.0001
companion's, 1, 0.0001
view, 1, 0.0001
shake, 1, 0.0001
glass-factories, 1, 0.0001
packet, 1, 0.0001
'gesellschaft, 1, 0.0001
wire, 1, 0.0001
superb, 1, 0.0001
state, 1, 0.0001
difficulties, 1, 0.0001
progress, 1, 0.0001
indebted, 1, 0.0001
daintiest, 1, 0.0001
opening, 1, 0.0001
simple-minded, 1, 0.0001
merry, 1, 0.0001
group, 1, 0.0001
precious, 1, 0.0001
staring, 1, 0.0001
freely, 1, 0.0001
drug, 1, 0.0001
admit, 1, 0.0001
figures, 1, 0.0001
iodoform, 1, 0.0001
safely, 1, 0.0001
jersey, 1, 0.0001
compromising, 1, 0.0001
wall, 1, 0.0001
company, 1, 0.0001
kings, 1, 0.0001
earning, 1, 0.0001
provinces, 1, 0.0001
it's, 1, 0.0001
gaze, 1, 0.0001
ah, 1, 0.0001
lady's, 1, 0.0001
faced, 1, 0.0001
lothman, 1, 0.0001
sufficient, 1, 0.0001
finished, 1, 0.0001
smoking, 1, 0.0001
fellow, 1, 0.0001
abandoned, 1, 0.0001
loathed, 1, 0.0001
value, 1, 0.0001
boswell, 1, 0.0001
ringing, 1, 0.0001
'thank, 1, 0.0001
arrangements, 1, 0.0001
imprudently, 1, 0.0001
richness, 1, 0.0001
cross, 1, 0.0001
member, 1, 0.0001
rattled, 1, 0.0001
travelled, 1, 0.0001
difficult, 1, 0.0001
dusk, 1, 0.0001
absorb, 1, 0.0001
sooner, 1, 0.0001
lenses, 1, 0.0001
drawing, 1, 0.0001
usual, 1, 0.0001
necessitate, 1, 0.0001
mistaken, 1, 0.0001
rest, 1, 0.0001
happiness, 1, 0.0001
discuss, 1, 0.0001
drew, 1, 0.0001
arrest, 1, 0.0001
crack, 1, 0.0001
earnestly, 1, 0.0001
smart, 1, 0.0001
resolved, 1, 0.0001
expostulating, 1, 0.0001
increased, 1, 0.0001
side-whiskered, 1, 0.0001
press, 1, 0.0001
immediately, 1, 0.0001
'you'll, 1, 0.0001
bulge, 1, 0.0001
sofa, 1, 0.0001
opera, 1, 0.0001
lose, 1, 0.0001
nerves, 1, 0.0001
shabby, 1, 0.0001
searching, 1, 0.0001
carlsbad, 1, 0.0001
esq, 1, 0.0001
steaming, 1, 0.0001
langham, 1, 0.0001
discretion, 1, 0.0001
speak, 1, 0.0001
regain, 1, 0.0001
conveyed, 1, 0.0001
instinct, 1, 0.0001
choked, 1, 0.0001
coldly, 1, 0.0001
panel, 1, 0.0001
gazetteer, 1, 0.0001
freedom, 1, 0.0001
whistled, 1, 0.0001
madame, 1, 0.0001
carries, 1, 0.0001
crusted, 1, 0.0001
equally, 1, 0.0001
weather, 1, 0.0001
promise, 1, 0.0001
secretive, 1, 0.0001
brilliantly, 1, 0.0001
impatience, 1, 0.0001
condescend, 1, 0.0001
imperial, 1, 0.0001
continental, 1, 0.0001
atkinson, 1, 0.0001
startled, 1, 0.0001
inner, 1, 0.0001
hoofs, 1, 0.0001
naturally, 1, 0.0001
i've, 1, 0.0001
sequel, 1, 0.0001
volume, 1, 0.0001
construction, 1, 0.0001
deuce, 1, 0.0001
eat, 1, 0.0001
tossed, 1, 0.0001
official, 1, 0.0001
triumphant, 1, 0.0001
placed, 1, 0.0001
stories, 1, 0.0001
drug-created, 1, 0.0001
curve, 1, 0.0001
authenticity, 1, 0.0001
twist, 1, 0.0001
chubb, 1, 0.0001
details, 1, 0.0001
incorrigible, 1, 0.0001
conclusion, 1, 0.0001
monday, 1, 0.0001
veil, 1, 0.0001
pictured, 1, 0.0001
searched, 1, 0.0001
